cityid,carid,time,sales
0,3,2018-12-01,249
0,3,2019-01-01,124
0,3,2019-02-01,214
0,3,2019-03-01,124
0,3,2019-04-01,234
0,3,2019-05-01,89
0,3,2019-06-01,125
0,3,2019-07-01,256
0,3,2019-08-01,125
0,3,2019-09-01,278
0,3,2019-10-01,314
0,3,2019-11-01,124
0,3,2019-12-01,365
0,4,2017-01-01,214
0,4,2017-02-01,263
0,4,2017-03-01,251
0,4,2017-04-01,280
0,4,2017-05-01,111
0,4,2017-06-01,333
0,4,2017-07-01,430
0,4,2017-08-01,458
0,4,2017-09-01,221
0,4,2017-10-01,111
0,4,2017-11-01,151
0,4,2017-12-01,184
0,4,2018-01-01,284
0,4,2018-02-01,327
0,4,2018-03-01,246
0,4,2018-04-01,297
0,4,2018-05-01,299
0,4,2018-06-01,289
0,4,2018-07-01,376
0,4,2018-08-01,351
0,4,2018-09-01,398
0,4,2018-10-01,359
0,4,2018-11-01,388
0,4,2018-12-01,102
0,4,2019-01-01,292
0,4,2019-02-01,222
0,4,2019-03-01,209
0,4,2019-04-01,188
0,4,2019-05-01,147
0,4,2019-06-01,174
0,4,2019-07-01,164
0,4,2019-08-01,164
0,4,2019-09-01,99
0,4,2019-10-01,105
0,4,2019-11-01,68
0,4,2019-12-01,186
0,5,2017-01-01,151
0,5,2017-02-01,274
0,5,2017-03-01,185
0,5,2017-04-01,214
0,5,2017-05-01,258
0,5,2017-06-01,223
0,5,2017-07-01,296
0,5,2017-08-01,247
0,5,2017-09-01,181
0,5,2017-10-01,69
0,5,2017-11-01,278
0,5,2017-12-01,239
0,5,2018-01-01,364
0,5,2018-02-01,346
0,5,2018-03-01,236
0,5,2018-04-01,240
0,5,2018-05-01,292
0,5,2018-06-01,95
0,5,2018-07-01,80
0,5,2018-08-01,76
0,5,2018-09-01,63
0,5,2018-10-01,25
0,5,2018-11-01,76
0,5,2018-12-01,79
0,5,2019-01-01,123
0,5,2019-02-01,472
0,5,2019-03-01,194
0,5,2019-04-01,150
0,5,2019-05-01,196
0,5,2019-06-01,332
0,5,2019-07-01,140
0,5,2019-08-01,255
0,5,2019-09-01,308
0,5,2019-10-01,252
0,5,2019-11-01,253
0,5,2019-12-01,320
0,6,2017-01-01,166
0,6,2017-02-01,283
0,6,2017-03-01,94
0,6,2017-04-01,396
0,6,2017-05-01,113
0,6,2017-06-01,348
0,6,2017-07-01,317
0,6,2017-08-01,263
0,6,2017-09-01,181
0,6,2017-10-01,292
0,6,2017-11-01,389
0,6,2017-12-01,188
0,6,2018-01-01,337
0,6,2018-02-01,425
0,6,2018-03-01,374
0,6,2018-04-01,310
0,6,2018-05-01,104
0,6,2018-06-01,279
0,6,2018-07-01,387
0,6,2018-08-01,120
0,6,2018-09-01,211
0,6,2018-10-01,205
0,6,2018-11-01,270
0,6,2018-12-01,211
0,6,2019-01-01,110
0,6,2019-02-01,179
0,6,2019-03-01,101
0,6,2019-04-01,65
0,6,2019-05-01,237
0,6,2019-06-01,201
0,6,2019-07-01,280
0,6,2019-08-01,263
0,6,2019-09-01,230
0,6,2019-10-01,287
0,6,2019-11-01,276
0,6,2019-12-01,439
0,7,2017-01-01,175
0,7,2017-02-01,119
0,7,2017-03-01,139
0,7,2017-04-01,228
0,7,2017-05-01,124
0,7,2017-06-01,89
0,7,2017-07-01,255
0,7,2017-08-01,250
0,7,2017-09-01,231
0,7,2017-10-01,300
0,7,2017-11-01,309
0,7,2017-12-01,280
0,7,2018-01-01,330
0,7,2018-02-01,365
0,7,2018-03-01,385
0,7,2018-04-01,333
0,7,2018-05-01,367
0,7,2018-06-01,239
0,7,2018-07-01,127
0,7,2018-08-01,103
0,7,2018-09-01,355
0,7,2018-10-01,86
0,7,2018-11-01,81
0,7,2018-12-01,233
0,7,2019-01-01,367
0,7,2019-02-01,212
0,7,2019-03-01,256
0,7,2019-04-01,241
0,7,2019-05-01,274
0,7,2019-06-01,282
0,7,2019-07-01,282
0,7,2019-08-01,354
0,7,2019-09-01,316
0,7,2019-10-01,303
0,7,2019-11-01,104
0,7,2019-12-01,422
0,8,2017-01-01,430
0,8,2017-02-01,778
0,8,2017-03-01,190
0,8,2017-04-01,148
0,8,2017-05-01,163
0,8,2017-06-01,217
0,8,2017-07-01,181
0,8,2017-08-01,113
0,8,2017-09-01,89
0,8,2017-10-01,64
0,8,2017-11-01,274
0,8,2017-12-01,157
0,8,2018-01-01,179
0,8,2018-02-01,269
0,8,2018-03-01,235
0,8,2018-04-01,216
0,8,2018-05-01,177
0,8,2018-06-01,125
0,8,2018-07-01,192
0,8,2018-08-01,269
0,8,2018-09-01,68
0,8,2018-10-01,378
0,8,2018-11-01,206
0,8,2018-12-01,371
0,8,2019-01-01,287
0,8,2019-02-01,235
0,8,2019-03-01,248
0,8,2019-04-01,243
0,8,2019-05-01,265
0,8,2019-06-01,230
0,8,2019-07-01,177
0,8,2019-08-01,299
0,8,2019-09-01,79
0,8,2019-10-01,199
0,8,2019-11-01,159
0,8,2019-12-01,238
0,9,2017-01-01,80
0,9,2017-02-01,46
0,9,2017-03-01,102
0,9,2017-04-01,70
0,9,2017-05-01,30
0,9,2017-06-01,93
0,9,2017-07-01,49
0,9,2017-08-01,190
0,9,2017-09-01,92
0,9,2017-10-01,146
0,9,2017-11-01,84
0,9,2017-12-01,200
0,9,2018-01-01,75
0,9,2018-02-01,45
0,9,2018-03-01,69
0,9,2018-04-01,79
0,9,2018-05-01,82
0,9,2018-06-01,67
0,9,2018-07-01,70
0,9,2018-08-01,93
0,9,2018-09-01,31
0,9,2018-10-01,85
0,9,2018-11-01,24
0,9,2018-12-01,49
0,9,2019-01-01,68
0,9,2019-02-01,70
0,9,2019-03-01,102
0,9,2019-04-01,123
0,9,2019-05-01,182
0,9,2019-06-01,49
0,9,2019-07-01,49
0,9,2019-08-01,49
0,9,2019-09-01,92
0,9,2019-10-01,93
0,9,2019-11-01,102
0,9,2019-12-01,75
0,10,2017-01-01,97
0,10,2017-02-01,68
0,10,2017-03-01,108
0,10,2017-04-01,44
0,10,2017-05-01,66
0,10,2017-06-01,67
0,10,2017-07-01,53
0,10,2017-08-01,58
0,10,2017-09-01,51
0,10,2017-10-01,48
0,10,2017-11-01,69
0,10,2017-12-01,107
0,10,2018-01-01,63
0,10,2018-02-01,59
0,10,2018-03-01,287
0,10,2018-04-01,371
0,10,2018-05-01,44
0,10,2018-06-01,82
0,10,2018-07-01,125
0,10,2018-08-01,137
0,10,2018-09-01,118
0,10,2018-10-01,76
0,10,2018-11-01,101
0,10,2018-12-01,78
0,10,2019-01-01,111
0,10,2019-02-01,61
0,10,2019-03-01,102
0,10,2019-04-01,66
0,10,2019-05-01,85
0,10,2019-06-01,45
0,10,2019-07-01,44
0,10,2019-08-01,53
0,10,2019-09-01,56
0,10,2019-10-01,107
0,10,2019-11-01,66
0,10,2019-12-01,66
0,11,2017-01-01,96
0,11,2017-02-01,85
0,11,2017-03-01,49
0,11,2017-04-01,49
0,11,2017-05-01,102
0,11,2017-06-01,49
0,11,2017-07-01,62
0,11,2017-08-01,71
0,11,2017-09-01,102
0,11,2017-10-01,89
0,11,2017-11-01,71
0,11,2017-12-01,106
0,11,2018-01-01,47
0,11,2018-02-01,84
0,11,2018-03-01,107
0,11,2018-04-01,52
0,11,2018-05-01,38
0,11,2018-06-01,64
0,11,2018-07-01,49
0,11,2018-08-01,84
0,11,2018-09-01,74
0,11,2018-10-01,61
0,11,2018-11-01,66
0,11,2018-12-01,99
0,11,2019-01-01,49
0,11,2019-02-01,85
0,11,2019-03-01,49
0,11,2019-04-01,93
0,11,2019-05-01,35
0,11,2019-06-01,50
0,11,2019-07-01,102
0,11,2019-08-01,50
0,11,2019-09-01,111
0,11,2019-10-01,125
0,11,2019-11-01,49
0,11,2019-12-01,146
0,12,2017-01-01,85
0,12,2017-02-01,105
0,12,2017-03-01,100
0,12,2017-04-01,112
0,12,2017-05-01,44
0,12,2017-06-01,133
0,12,2017-07-01,172
0,12,2017-08-01,183
0,12,2017-09-01,88
0,12,2017-10-01,44
0,12,2017-11-01,60
0,12,2017-12-01,73
0,12,2018-01-01,113
0,12,2018-02-01,130
0,12,2018-03-01,98
0,12,2018-04-01,118
0,12,2018-05-01,119
0,12,2018-06-01,115
0,12,2018-07-01,150
0,12,2018-08-01,140
0,12,2018-09-01,159
0,12,2018-10-01,143
0,12,2018-11-01,155
0,12,2018-12-01,40
0,12,2019-01-01,116
0,12,2019-02-01,88
0,12,2019-03-01,83
0,12,2019-04-01,75
0,12,2019-05-01,58
0,12,2019-06-01,69
0,12,2019-07-01,65
0,12,2019-08-01,65
0,12,2019-09-01,39
0,12,2019-10-01,42
0,12,2019-11-01,27
0,12,2019-12-01,74
0,13,2017-01-01,60
0,13,2017-02-01,109
0,13,2017-03-01,74
0,13,2017-04-01,85
0,13,2017-05-01,103
0,13,2017-06-01,89
0,13,2017-07-01,118
0,13,2017-08-01,98
0,13,2017-09-01,72
0,13,2017-10-01,27
0,13,2017-11-01,111
0,13,2017-12-01,95
0,13,2018-01-01,145
0,13,2018-02-01,138
0,13,2018-03-01,94
0,13,2018-04-01,96
0,13,2018-05-01,116
0,13,2018-06-01,38
0,13,2018-07-01,32
0,13,2018-08-01,30
0,13,2018-09-01,25
0,13,2018-10-01,10
0,13,2018-11-01,30
0,13,2018-12-01,31
0,13,2019-01-01,49
0,13,2019-02-01,188
0,13,2019-03-01,77
0,13,2019-04-01,60
0,13,2019-05-01,78
0,13,2019-06-01,132
0,13,2019-07-01,56
0,13,2019-08-01,102
0,13,2019-09-01,123
0,13,2019-10-01,100
0,13,2019-11-01,101
0,13,2019-12-01,128
0,14,2017-01-01,66
0,14,2017-02-01,113
0,14,2017-03-01,37
0,14,2017-04-01,158
0,14,2017-05-01,45
0,14,2017-06-01,139
0,14,2017-07-01,126
0,14,2017-08-01,105
0,14,2017-09-01,72
0,14,2017-10-01,116
0,14,2017-11-01,155
0,14,2017-12-01,75
0,14,2018-01-01,134
0,14,2018-02-01,170
0,14,2018-03-01,149
0,14,2018-04-01,124
0,14,2018-05-01,41
0,14,2018-06-01,111
0,14,2018-07-01,154
0,14,2018-08-01,48
0,14,2018-09-01,84
0,14,2018-10-01,82
0,14,2018-11-01,108
0,14,2018-12-01,84
0,14,2019-01-01,44
0,14,2019-02-01,71
0,14,2019-03-01,40
0,14,2019-04-01,26
0,14,2019-05-01,94
0,14,2019-06-01,80
0,14,2019-07-01,112
0,14,2019-08-01,105
0,14,2019-09-01,92
0,14,2019-10-01,114
0,14,2019-11-01,110
0,14,2019-12-01,175
0,15,2017-01-01,70
0,15,2017-02-01,47
0,15,2017-03-01,55
0,15,2017-04-01,91
0,15,2017-05-01,49
0,15,2017-06-01,35
0,15,2017-07-01,102
0,15,2017-08-01,100
0,15,2017-09-01,92
0,15,2017-10-01,120
0,15,2017-11-01,123
0,15,2017-12-01,112
0,15,2018-01-01,132
0,15,2018-02-01,146
0,15,2018-03-01,154
0,15,2018-04-01,133
0,15,2018-05-01,146
0,15,2018-06-01,95
0,15,2018-07-01,50
0,15,2018-08-01,41
0,15,2018-09-01,142
0,15,2018-10-01,34
0,15,2018-11-01,32
0,15,2018-12-01,93
0,15,2019-01-01,146
0,15,2019-02-01,84
0,15,2019-03-01,102
0,15,2019-04-01,96
0,15,2019-05-01,109
0,15,2019-06-01,112
0,15,2019-07-01,112
0,15,2019-08-01,141
0,15,2019-09-01,126
0,15,2019-10-01,121
0,15,2019-11-01,41
0,15,2019-12-01,168
0,16,2017-01-01,172
0,16,2017-02-01,311
0,16,2017-03-01,76
0,16,2017-04-01,59
0,16,2017-05-01,65
0,16,2017-06-01,86
0,16,2017-07-01,72
0,16,2017-08-01,45
0,16,2017-09-01,35
0,16,2017-10-01,25
0,16,2017-11-01,109
0,16,2017-12-01,62
0,16,2018-01-01,71
0,16,2018-02-01,107
0,16,2018-03-01,94
0,16,2018-04-01,86
0,16,2018-05-01,70
0,16,2018-06-01,50
0,16,2018-07-01,76
0,16,2018-08-01,107
0,16,2018-09-01,27
0,16,2018-10-01,151
0,16,2018-11-01,82
0,16,2018-12-01,148
0,16,2019-01-01,114
0,16,2019-02-01,94
0,16,2019-03-01,99
0,16,2019-04-01,97
0,16,2019-05-01,106
0,16,2019-06-01,92
0,16,2019-07-01,70
0,16,2019-08-01,119
0,16,2019-09-01,31
0,16,2019-10-01,79
0,16,2019-11-01,63
0,16,2019-12-01,95
0,17,2017-01-01,132
0,17,2017-02-01,75
0,17,2017-03-01,168
0,17,2017-04-01,116
0,17,2017-05-01,50
0,17,2017-06-01,154
0,17,2017-07-01,81
0,17,2017-08-01,314
0,17,2017-09-01,152
0,17,2017-10-01,240
0,17,2017-11-01,139
0,17,2017-12-01,330
0,17,2018-01-01,124
0,17,2018-02-01,74
0,17,2018-03-01,114
0,17,2018-04-01,130
0,17,2018-05-01,136
0,17,2018-06-01,111
0,17,2018-07-01,116
0,17,2018-08-01,154
0,17,2018-09-01,51
0,17,2018-10-01,140
0,17,2018-11-01,40
0,17,2018-12-01,81
0,17,2019-01-01,112
0,17,2019-02-01,116
0,17,2019-03-01,168
0,17,2019-04-01,203
0,17,2019-05-01,300
0,17,2019-06-01,81
0,17,2019-07-01,81
0,17,2019-08-01,81
0,17,2019-09-01,152
0,17,2019-10-01,154
0,17,2019-11-01,168
0,17,2019-12-01,124
0,18,2017-01-01,160
0,18,2017-02-01,112
0,18,2017-03-01,178
0,18,2017-04-01,73
0,18,2017-05-01,109
0,18,2017-06-01,111
0,18,2017-07-01,88
0,18,2017-08-01,95
0,18,2017-09-01,85
0,18,2017-10-01,80
0,18,2017-11-01,114
0,18,2017-12-01,176
0,18,2018-01-01,104
0,18,2018-02-01,98
0,18,2018-03-01,473
0,18,2018-04-01,612
0,18,2018-05-01,73
0,18,2018-06-01,135
0,18,2018-07-01,206
0,18,2018-08-01,226
0,18,2018-09-01,195
0,18,2018-10-01,126
0,18,2018-11-01,167
0,18,2018-12-01,128
0,18,2019-01-01,183
0,18,2019-02-01,100
0,18,2019-03-01,169
0,18,2019-04-01,110
0,18,2019-05-01,141
0,18,2019-06-01,74
0,18,2019-07-01,72
0,18,2019-08-01,87
0,18,2019-09-01,92
0,18,2019-10-01,176
0,18,2019-11-01,108
0,18,2019-12-01,109
0,19,2017-01-01,159
0,19,2017-02-01,140
0,19,2017-03-01,81
0,19,2017-04-01,81
0,19,2017-05-01,169
0,19,2017-06-01,81
0,19,2017-07-01,103
0,19,2017-08-01,117
0,19,2017-09-01,169
0,19,2017-10-01,147
0,19,2017-11-01,117
0,19,2017-12-01,175
0,19,2018-01-01,78
0,19,2018-02-01,139
0,19,2018-03-01,177
0,19,2018-04-01,87
0,19,2018-05-01,63
0,19,2018-06-01,106
0,19,2018-07-01,81
0,19,2018-08-01,139
0,19,2018-09-01,122
0,19,2018-10-01,101
0,19,2018-11-01,110
0,19,2018-12-01,164
0,19,2019-01-01,81
0,19,2019-02-01,141
0,19,2019-03-01,81
0,19,2019-04-01,154
0,19,2019-05-01,58
0,19,2019-06-01,82
0,19,2019-07-01,168
0,19,2019-08-01,82
0,19,2019-09-01,183
0,19,2019-10-01,207
0,19,2019-11-01,81
0,19,2019-12-01,240
0,20,2017-01-01,141
0,20,2017-02-01,173
0,20,2017-03-01,165
0,20,2017-04-01,184
0,20,2017-05-01,73
0,20,2017-06-01,219
0,20,2017-07-01,283
0,20,2017-08-01,302
0,20,2017-09-01,145
0,20,2017-10-01,73
0,20,2017-11-01,99
0,20,2017-12-01,121
0,20,2018-01-01,187
0,20,2018-02-01,215
0,20,2018-03-01,162
0,20,2018-04-01,196
0,20,2018-05-01,197
0,20,2018-06-01,190
0,20,2018-07-01,248
0,20,2018-08-01,231
0,20,2018-09-01,262
0,20,2018-10-01,236
0,20,2018-11-01,256
0,20,2018-12-01,67
0,20,2019-01-01,192
0,20,2019-02-01,146
0,20,2019-03-01,137
0,20,2019-04-01,124
0,20,2019-05-01,97
0,20,2019-06-01,114
0,20,2019-07-01,108
0,20,2019-08-01,108
0,20,2019-09-01,65
0,20,2019-10-01,69
0,20,2019-11-01,44
0,20,2019-12-01,122
0,21,2017-01-01,99
0,21,2017-02-01,180
0,21,2017-03-01,122
0,21,2017-04-01,141
0,21,2017-05-01,170
0,21,2017-06-01,147
0,21,2017-07-01,195
0,21,2017-08-01,163
0,21,2017-09-01,119
0,21,2017-10-01,45
0,21,2017-11-01,183
0,21,2017-12-01,157
0,21,2018-01-01,240
0,21,2018-02-01,228
0,21,2018-03-01,155
0,21,2018-04-01,158
0,21,2018-05-01,192
0,21,2018-06-01,62
0,21,2018-07-01,52
0,21,2018-08-01,50
0,21,2018-09-01,41
0,21,2018-10-01,16
0,21,2018-11-01,50
0,21,2018-12-01,52
0,21,2019-01-01,81
0,21,2019-02-01,311
0,21,2019-03-01,128
0,21,2019-04-01,99
0,21,2019-05-01,129
0,21,2019-06-01,219
0,21,2019-07-01,92
0,21,2019-08-01,168
0,21,2019-09-01,203
0,21,2019-10-01,166
0,21,2019-11-01,166
0,21,2019-12-01,211
0,22,2017-01-01,109
0,22,2017-02-01,186
0,22,2017-03-01,62
0,22,2017-04-01,261
0,22,2017-05-01,74
0,22,2017-06-01,229
0,22,2017-07-01,209
0,22,2017-08-01,173
0,22,2017-09-01,119
0,22,2017-10-01,192
0,22,2017-11-01,256
0,22,2017-12-01,124
0,22,2018-01-01,222
0,22,2018-02-01,280
0,22,2018-03-01,246
0,22,2018-04-01,204
0,22,2018-05-01,68
0,22,2018-06-01,184
0,22,2018-07-01,255
0,22,2018-08-01,79
0,22,2018-09-01,139
0,22,2018-10-01,135
0,22,2018-11-01,178
0,22,2018-12-01,139
0,22,2019-01-01,72
0,22,2019-02-01,118
0,22,2019-03-01,66
0,22,2019-04-01,42
0,22,2019-05-01,156
0,22,2019-06-01,132
0,22,2019-07-01,184
0,22,2019-08-01,173
0,22,2019-09-01,151
0,22,2019-10-01,189
0,22,2019-11-01,182
0,22,2019-12-01,289
0,23,2017-01-01,115
0,23,2017-02-01,78
0,23,2017-03-01,91
0,23,2017-04-01,150
0,23,2017-05-01,81
0,23,2017-06-01,58
0,23,2017-07-01,168
0,23,2017-08-01,165
0,23,2017-09-01,152
0,23,2017-10-01,198
0,23,2017-11-01,203
0,23,2017-12-01,184
0,23,2018-01-01,217
0,23,2018-02-01,240
0,23,2018-03-01,254
0,23,2018-04-01,219
0,23,2018-05-01,242
0,23,2018-06-01,157
0,23,2018-07-01,83
0,23,2018-08-01,67
0,23,2018-09-01,234
0,23,2018-10-01,56
0,23,2018-11-01,53
0,23,2018-12-01,153
0,23,2019-01-01,242
0,23,2019-02-01,139
0,23,2019-03-01,168
0,23,2019-04-01,159
0,23,2019-05-01,180
0,23,2019-06-01,186
0,23,2019-07-01,186
0,23,2019-08-01,233
0,23,2019-09-01,208
0,23,2019-10-01,199
0,23,2019-11-01,68
0,23,2019-12-01,278
0,24,2017-01-01,283
0,24,2017-02-01,513
0,24,2017-03-01,125
0,24,2017-04-01,97
0,24,2017-05-01,107
0,24,2017-06-01,143
0,24,2017-07-01,119
0,24,2017-08-01,74
0,24,2017-09-01,58
0,24,2017-10-01,42
0,24,2017-11-01,180
0,24,2017-12-01,103
0,24,2018-01-01,118
0,24,2018-02-01,177
0,24,2018-03-01,155
0,24,2018-04-01,142
0,24,2018-05-01,116
0,24,2018-06-01,82
0,24,2018-07-01,126
0,24,2018-08-01,177
0,24,2018-09-01,44
0,24,2018-10-01,249
0,24,2018-11-01,135
0,24,2018-12-01,244
0,24,2019-01-01,189
0,24,2019-02-01,155
0,24,2019-03-01,163
0,24,2019-04-01,160
0,24,2019-05-01,174
0,24,2019-06-01,151
0,24,2019-07-01,116
0,24,2019-08-01,197
0,24,2019-09-01,52
0,24,2019-10-01,131
0,24,2019-11-01,104
0,24,2019-12-01,157
0,25,2017-01-01,53
0,25,2017-02-01,30
0,25,2017-03-01,67
0,25,2017-04-01,46
0,25,2017-05-01,20
0,25,2017-06-01,61
0,25,2017-07-01,32
0,25,2017-08-01,125
0,25,2017-09-01,60
0,25,2017-10-01,96
0,25,2017-11-01,55
0,25,2017-12-01,132
0,25,2018-01-01,49
0,25,2018-02-01,29
0,25,2018-03-01,45
0,25,2018-04-01,52
0,25,2018-05-01,54
0,25,2018-06-01,44
0,25,2018-07-01,46
0,25,2018-08-01,61
0,25,2018-09-01,20
0,25,2018-10-01,56
0,25,2018-11-01,16
0,25,2018-12-01,32
0,25,2019-01-01,45
0,25,2019-02-01,46
0,25,2019-03-01,67
0,25,2019-04-01,81
0,25,2019-05-01,120
0,25,2019-06-01,32
0,25,2019-07-01,32
0,25,2019-08-01,32
0,25,2019-09-01,60
0,25,2019-10-01,61
0,25,2019-11-01,67
0,25,2019-12-01,49
0,26,2017-01-01,64
0,26,2017-02-01,45
0,26,2017-03-01,71
0,26,2017-04-01,29
0,26,2017-05-01,43
0,26,2017-06-01,44
0,26,2017-07-01,35
0,26,2017-08-01,38
0,26,2017-09-01,34
0,26,2017-10-01,32
0,26,2017-11-01,45
0,26,2017-12-01,70
0,26,2018-01-01,41
0,26,2018-02-01,39
0,26,2018-03-01,189
0,26,2018-04-01,244
0,26,2018-05-01,29
0,26,2018-06-01,54
0,26,2018-07-01,82
0,26,2018-08-01,90
0,26,2018-09-01,78
0,26,2018-10-01,50
0,26,2018-11-01,67
0,26,2018-12-01,51
0,26,2019-01-01,73
0,26,2019-02-01,40
0,26,2019-03-01,67
0,26,2019-04-01,44
0,26,2019-05-01,56
0,26,2019-06-01,29
0,26,2019-07-01,29
0,26,2019-08-01,35
0,26,2019-09-01,36
0,26,2019-10-01,70
0,26,2019-11-01,43
0,26,2019-12-01,43
0,27,2017-01-01,63
0,27,2017-02-01,56
0,27,2017-03-01,32
0,27,2017-04-01,32
0,27,2017-05-01,67
0,27,2017-06-01,32
0,27,2017-07-01,41
0,27,2017-08-01,46
0,27,2017-09-01,67
0,27,2017-10-01,58
0,27,2017-11-01,46
0,27,2017-12-01,70
0,27,2018-01-01,31
0,27,2018-02-01,55
0,27,2018-03-01,71
0,27,2018-04-01,34
0,27,2018-05-01,25
0,27,2018-06-01,42
0,27,2018-07-01,32
0,27,2018-08-01,55
0,27,2018-09-01,48
0,27,2018-10-01,40
0,27,2018-11-01,44
0,27,2018-12-01,65
0,27,2019-01-01,32
0,27,2019-02-01,56
0,27,2019-03-01,32
0,27,2019-04-01,61
0,27,2019-05-01,23
0,27,2019-06-01,33
0,27,2019-07-01,67
0,27,2019-08-01,33
0,27,2019-09-01,73
0,27,2019-10-01,82
0,27,2019-11-01,32
0,27,2019-12-01,96
0,28,2017-01-01,56
0,28,2017-02-01,69
0,28,2017-03-01,66
0,28,2017-04-01,73
0,28,2017-05-01,29
0,28,2017-06-01,87
0,28,2017-07-01,113
0,28,2017-08-01,120
0,28,2017-09-01,58
0,28,2017-10-01,29
0,28,2017-11-01,39
0,28,2017-12-01,48
0,28,2018-01-01,74
0,28,2018-02-01,86
0,28,2018-03-01,64
0,28,2018-04-01,78
0,28,2018-05-01,78
0,28,2018-06-01,76
0,28,2018-07-01,99
0,28,2018-08-01,92
0,28,2018-09-01,105
0,28,2018-10-01,94
0,28,2018-11-01,102
0,28,2018-12-01,26
0,28,2019-01-01,77
0,28,2019-02-01,58
0,28,2019-03-01,55
0,28,2019-04-01,49
0,28,2019-05-01,38
0,28,2019-06-01,45
0,28,2019-07-01,43
0,28,2019-08-01,43
0,28,2019-09-01,26
0,28,2019-10-01,27
0,28,2019-11-01,17
0,28,2019-12-01,49
0,29,2017-01-01,39
0,29,2017-02-01,72
0,29,2017-03-01,48
0,29,2017-04-01,56
0,29,2017-05-01,68
0,29,2017-06-01,58
0,29,2017-07-01,78
0,29,2017-08-01,65
0,29,2017-09-01,47
0,29,2017-10-01,18
0,29,2017-11-01,73
0,29,2017-12-01,63
0,29,2018-01-01,96
0,29,2018-02-01,91
0,29,2018-03-01,62
0,29,2018-04-01,63
0,29,2018-05-01,77
0,29,2018-06-01,25
0,29,2018-07-01,21
0,29,2018-08-01,20
0,29,2018-09-01,16
0,29,2018-10-01,6
0,29,2018-11-01,20
0,29,2018-12-01,20
0,29,2019-01-01,32
0,29,2019-02-01,124
0,29,2019-03-01,51
0,29,2019-04-01,39
0,29,2019-05-01,51
0,29,2019-06-01,87
0,29,2019-07-01,36
0,29,2019-08-01,67
0,29,2019-09-01,81
0,29,2019-10-01,66
0,29,2019-11-01,66
0,29,2019-12-01,84
0,30,2017-01-01,43
0,30,2017-02-01,74
0,30,2017-03-01,24
0,30,2017-04-01,104
0,30,2017-05-01,29
0,30,2017-06-01,91
0,30,2017-07-01,83
0,30,2017-08-01,69
0,30,2017-09-01,47
0,30,2017-10-01,77
0,30,2017-11-01,102
0,30,2017-12-01,49
0,30,2018-01-01,88
0,30,2018-02-01,112
0,30,2018-03-01,98
0,30,2018-04-01,81
0,30,2018-05-01,27
0,30,2018-06-01,73
0,30,2018-07-01,102
0,30,2018-08-01,31
0,30,2018-09-01,55
0,30,2018-10-01,54
0,30,2018-11-01,71
0,30,2018-12-01,55
0,30,2019-01-01,29
0,30,2019-02-01,47
0,30,2019-03-01,26
0,30,2019-04-01,17
0,30,2019-05-01,62
0,30,2019-06-01,53
0,30,2019-07-01,73
